,0,1,2,3,4
0,1XyJMWQ0fgWszG69vh3INA,Was seated and waited 30 mins without even being greeted by the waiter. He had time to ask other tables if they wanted refills and how there food was. There...,1,2023-06-25 11:22:45,WRUIUIVkz7F5IiH7XI8QcA
1,H4FhOjFivi4aMxeddxMPGg,"ROASTED CHICKEN & GOAT CHEESE PANINI 
16.50 ~ 1160 / 800 cal
provolone cheese, oven-roasted tomatoes, arugula, 
dijon balsamic vinaigrette, lemon chive...",5,2023-06-24 19:37:16,y0wA70QDTUeKS_VyLw7A7A
2,qLzO2mwYN3ti8dvAfpxePw,All the vibes!!  We dropped in on a Saturday without a reservation and were given a 30 minute wait time. We made it easy and sat at the bar. There were only...,4,2023-04-30 07:04:01,LDoa3UXbySRr0b2pcwrlnw
3,dONpgM2St8gaCZdnaWiTKw,I was so excited about the Food Truck Fest when I heard Hungry Monkey was going to be there. I have been craving them since I heard they put Peanut Butter...,5,2014-08-16 19:45:05,7DCwwpe524F2AqZqTUGExg
4,V4d7QNZtIbCfMXYcgR5LhA,"This is the best Mexican restaurant in Gahanna that I have found so far.  The management and workers are kind and consistent.

Get the Hibiscus  water!...",5,2023-05-31 03:41:00,7v5WWyFCONwphGxWqlncEw
5,0xV6NqiTywk-EP8_yz0GjQ,"Enjoyed. Bubble tea from here! A little tough to navigate the menu as a first timer, otherwise would have been five stars! It's very hands off from a...",4,2023-06-27 16:15:23,PXXqDERpNeXG-kelehl_ug
6,_Lgtf89BRy9uxHLtQ7eB0g,"Had an eye on this forever, but it's out of my way and I never made an effort to get here.  Mistake.  Today I had time and was nearby, and stopped in.

Cool...",5,2022-12-05 17:58:30,R1FVpAyl_BtxHBWdau2VLg
7,lscGoz9CbNfPu07LNv3EhQ,"When my friends told me to check out Rogue Bakery and swore by the delectable magic of their cookies, I was doubtful. After all, I'm not a huge cookie fan....",4,2010-11-08 07:31:34,UWM2RC4PomAB65GWmEsoiw
8,a2SKwMUgPph78bZtkuNVjw,"Perfect Deep Dish once again. We order it well done and it turned out just that. Delivered in 40 minutes, so its not a quick pie.",4,2023-04-16 17:11:31,9leRUv4_XFUuGyevKJKA-Q
9,x_fVVrfDJg4HkZ73faIbcw,"Short and sweet review, because this is a quick place to order from, but what you order and how you order it is what makes the experience great. I'm in love...",5,2022-11-12 06:13:12,2FSgTI_wRZEJCoYxzAh1iA
10,em9t4_oHLPuplxfY_8xakQ,"Great Laos food in Columbus!  It was awesome how they had this in a Ghost Kitchen where you can choose from asian, soul, bbq, American, Mexican.",5,2022-09-30 17:10:44,u1oNLhSGjVdqkFX9t0a4ow
11,6dyX6OPTI3b0xtzl0_Xwrg,Yoshi is a quick sushi and beverage joint with great service with a location not far from the university. It's much more geared for takeout than dine...,3,2022-10-24 13:00:32,ZpuVmTg0dJZMdftp_nAIbA
12,aOg338UZTnwGG7Nt9jiX1w,My mom was craving some roosters because you can't go wrong with their wings. It just so happened to be boneless Monday so they had a special and I ordered...,4,2021-03-02 20:08:55,zcm58DFgpnd8yMrMY8Exug
13,JhGP3rwCGmh5QYzAYBO_og,Fun brewery with friendly staff. They did lot have a big selection of house brews on tap yet and a few were tapped out already. I had the Snickers brew and...,5,2022-09-26 07:53:09,OmNf0I4cMUJgDZMOjjaD3w
14,ylDLOaUotZWGmfbxrtu1yw,"I've been coming to Brassica quite a bit over the last few years. They've got a Chipotle-style process, where you place an order, then go through an...",5,2023-06-24 12:29:57,HN4cOFmLJ5aKc3vPOC7W9A
15,QFtYaHKPkISjzWNgURJblw,"Service Bar just opened back up under a new chef after being closed for 2.5 years through Covid, so I was very excited to try it out again. Overall, it was...",3,2022-11-21 09:46:14,gk6In6MpVFh05rQhiVX9Aw
16,rQ_lzi3BVmAIVHocjGeSjg,My daughter lives nearby and wanted to dine here for her birthday. The staff was extremely helpful meeting my wife's dietary needs. Our server recommended...,5,2023-05-13 14:40:55,JbEqZ4MM2o7lpgK8l9w7xg
17,4R05AD_Dabkh-AYcXkJ38A,"An entirely enjoyable and tasty experience start to finish.

Food is beautifully plated, flavorful, and satisfying, interior is well decorated and...",5,2023-06-27 07:29:03,kLoklJrVlONYN-OC4eky-w
18,nUIpCGF4LwsDpouqhQP3Fw,"We came in with a large party and they worked hard to seat us, which was great.

And the service was okay under the circumstances. But the music was loud...",3,2023-04-30 10:02:40,HeeozuTFkEbNgmupaTqdJg
19,5JS0D1RctO7Pt2mTrrvY7g,"This is one of those restaurants that is just filled with energy, knowledgeable servers and good food. Felt like I was in New York, not Columbus (nothing...",4,2023-06-19 14:54:31,9fLPl-bNAU0xJQPBpIln2Q
20,e_vQy4T_tMTx_Uy2VTCkJg,My favorite place when visiting columbus! We've been here quite a few times now and I crave it ALL THE TIME! The homemade fettuccine with Alfredo and one of...,5,2023-04-19 17:36:24,_MMRCKJWKNFVtseRj78eSg
21,brzjgISxtI3VqKBiGNsddw,"Some hiccups with service probably owed more to the size of our parties and the volume of everyone else, but the servers worked very hard to overcome these...",4,2023-04-30 09:42:03,HeeozuTFkEbNgmupaTqdJg
22,JQv8ja6qdzx1MhHEiYCTvw,"The Carbonara made with Campanelle Pasta, Pancetta, Peas, Pecorino, Egg Yolk was delicious, definitely a staple dish for South Village Grille. The egg is a...",4,2023-05-10 16:50:17,I3vKvNcl0SCYAShtqd74KQ
23,bnUC06eFfsOeRzBaIh1IhQ,"Lindey's patio is the best patio in the city. 

The food is excellent. American, almost to a fault.",5,2023-06-19 10:17:47,S6E8Rd48aF2n4s_fRMUl1g
24,EY27sxzPYzNOr0WZNpyWpQ,"This place is obviously up there in terms of the quality of food and many aspects of the dining experience. We came here on a date night, requested a seat...",3,2022-12-31 14:10:15,GVPfX3H7AcCimpb8TccvEw
25,EFCfikDf1cJbmHaQZ13sEw,"Absolutely delicious and amazing. Harvest has the best pizza I've had yet, and it's very consistent and I have not yet had a bad experience in the many...",5,2023-05-12 13:00:50,hYJ7oHCkh8oQ2807KLFumQ
26,v3Q1YP7NA8VT8KGzAsuJUQ,"Love the ambiance of this place! It was very homey and cozy, the staff was very friendly and attentive. 

We started off with the mussels, the sauce was...",3,2023-03-25 08:59:20,Z9w_0w_1y11pvkpamn0_vQ
27,JJmMsF2X2OfCb7gdz_HMkg,Every summer we make it a point to visit Lindy's and enjoy what is without a doubt one of the top three patios in the state of ohio. We always enjoy the...,5,2023-06-24 17:25:21,nlzQhljFYWgmY5_de8FkPA
28,JXGpLbTqoOv4c5kjbZ0law,We were greeted upon entering by a distinguished gentleman who also seemed to be some sort of head chef. This was my first time here so I wasn't quite sure...,5,2023-04-23 13:23:36,eZWfRHrOYvSk8zT75leoLw
29,leXXbWXu4bqYAG4MVk6d-g,"Had a birthday dinner here with a party of 7. Since we had a reservation we were seated immediately. The waiter, a former flight attendant, was upbeat and...",5,2023-02-04 17:11:07,ZHZU_utj0yPDygJPyEXcDA
30,ez6unV5UzZu8i72hzZHwAA,"Came here for brunch for the first time! Service was prompt and I really liked the ambiance of the dining area. 

The food was amazing. Portion sizes were...",5,2023-05-04 06:44:36,Vyod5X5-yaXt3AodZDM3Ug
31,4AcMwsQQY_jYILpNZdccoQ,I was honestly disappointed in my burger :/ I feel like it's not hard to get a good burger but the ratios were off and the sauce they put on it didn't go. I...,3,2023-02-07 21:58:01,7Ivzp3G88rq0TOrTODEUsw
32,EDkTQrgrIxPutMCOI6piGA,"My Husband and I dined at a local eatery, ""Home Town""and I must say I had an amazing experience. From the moment I walked in, I was greeted with a warm and...",4,2023-04-24 05:37:51,Y4WSue3fcjpILSmT6EDQsw
33,Tt7R9P6qv23ur6elNnGptQ,FIRST time dining at Jeff Ruby's this past weekend. I had never stepped foot in this establishment until 10 mins before our reservation and let me tell you...,5,2023-05-15 12:58:23,eCLx63VP5jF_kup8iZb4fA
34,FuMjPTzfxYntoPy1gMJ8Jg,"This cafe is a must visit in Columbus. It's almost always busy every time we visit so it might be hard to dine in but the egg sandwich is a must. 

They...",5,2023-04-23 08:33:32,uySR3jDEk_DrvUt9fAThYg
35,YJdmg2qzWMezNUaYTW-7tg,"I was super excited to come to Comune after it has been on my to-do list for so long. I came with coworkers one evening to try the Spring 2023 menu, and was...",5,2023-04-13 10:03:22,xViPciuEA-kEwbfekl62Fg
36,G3yf9ZEXogNSYBjKt3bgAw,"Amazing food, cocktails and atmosphere! They take reservations too, which is great on busy OSU weekends.",5,2023-06-12 14:30:09,CBMQ9h1vnWFAwULSLTNm1Q
37,4qOlmXv_7gtyKnxbfoJdgg,"Our second time dining here, and this joint has yet to disappoint. First time we came, we were downstairs in the basement which was beautifully done and...",5,2023-04-01 15:44:06,8fITLch12NqT9KW-x-daRA
38,BqDcuJeIi083neFKd3leDA,"I had a private dinner planned there last week Wednesday and it was such a great experience. My group of about 18 people had a lovely time, the staff was...",5,2023-07-05 10:48:10,uWD9y-Z82I9Bd7efeAsHeg
39,kFwjaCXzf44twGfp-L3shQ,"Had such an amazing dinner at The Guild House for my husband's birthday. 

To drink:
? Cocktail for two: Served in a glass porthole and changes seasonally....",5,2023-03-30 17:36:53,8tBi3-rjn507k8e3zG2sbg
40,pkQXKD4acOKb_8P8wHfXfQ,very good food  yum yum yummers!!! the service was also really good i met the FINEST bartender here bro if your name is joey hmu you're fine as hell anyways...,5,2023-05-16 17:20:21,5b5SpUHTr54wTGlM8wREUg
41,3A6RftII_8l2LPOPVodJ2g,"I had a great first experience at The Eagle! This place has always been recommended to me, and I finally made it there last night. We came in on a Wednesday...",5,2023-04-27 09:34:01,HjvncUuPjEUwsdx0Xc_gkQ
42,E1di7yY1L0I20aNcsQ-MbA,"10/10 would recommend you try Ampersand 

We had family in town visiting and reserved the Tatami Room which was a very cool experience. The Tatami Room is a...",5,2023-06-27 19:47:52,RLQaJoUHhd1A08V47FTESQ
43,oGTvgrrc-_EnuBQXyXTjng,Boyfriend surprised me for our anniversary with dinner at Mitchell's Ocean Club.  This was my first time here.  The restaurant is so beautiful and the staff...,5,2023-02-19 15:53:17,kTnqh6o9zPeiks3JVv-DyQ
44,MYwbht_XBq1Ya-kHOrYQEw,Everything is top knotch! From the food to the ambiance to the service. You feel at home and you leave with a satisfied belly.,5,2023-06-16 16:53:13,GNoo7GFMBmT26GfkieLduw
45,W2vIlXEZ9OiwtFS1nXlkMw,I've read about the Refectory for several years now either winning an award or being acknowledged for something great. I've always categorized The Refectory...,5,2023-05-18 08:02:30,dXphb5k_ABC8BfknoJYPWw
46,e-VzMIJwB5xQ-YmBuaQMXA,"We had a wonderful evening out with friends on a Monday eve at Ampersand. First, it was a fun and unique experience because we reserved their tatami table...",5,2023-04-26 17:52:41,-mggGf7DG5xR8NnfupfiBA
47,jlT5tSGAnC-qK-e6NEsA8g,"Loved this place!
Came for brunch on a Sunday -- we had a reservation but didn't need it that day, but it might have been slower than usual due to the bad...",5,2023-07-09 16:27:27,9Utn6_O560i8M9_3RKJZxg
48,aQk77_7vl6DyZnz8ES9HhQ,"Was our first time there for hubby's bday and it won't be our last! 

Let's start with atmosphere:
It was chic and simple. Loved that like fine dining...",5,2023-04-07 08:31:01,eUnGALOEUlp16dhvPiwCng
49,nYHLxXfj59bedWLMOG6EAg,Food - absolute culinary genius! Each dish I tried was bursting with flavor and beautifully presented. The attention to detail in every bite was impeccable....,5,2023-06-29 22:05:18,VlMd2HGKxhRDRPhONqD1Jg
50,A0Gjec3MNVmO49oP8yGNxQ,This is another good food truck. Kabob Time is close to some good bars. You can grab something before you go in. It's also a nice stop when you're getting...,5,2019-07-05 07:18:14,tgeFUChlh7v8bZFVl2-hjQ
51,UEm6FMNOUNzsNQ89bvOj0g,This food cart is operated by a very nice and considerate guy. It was very hot on the day we went there. He was concerned that we were standing in the sun....,4,2021-06-12 11:12:39,ABhvFtEei3w7_FSlQDIn9Q
52,Re1oBcUrSzZSWq_sbW-ZqA,"To me, the quintessential carryout finger food is middle-eastern cuisine. Pita sandwiches, falafel balls, wings, fries! Had to try out the top-rated...",4,2021-06-12 09:20:36,mXREH4sQw8J6X-5e_IKxHw
53,Yw6HL5kMfyCj683av3NRvg,"Great location. Glad they weathered through COVID to still remain open.
Wait staff always friendly. 
Always a go to for appetizers and a Philly sandwich.",4,2022-12-01 11:30:07,0C_BcoJROQ-0j-1KDYW53A
54,yEBzdvQ9Q5urf0X5OZwflw,We stopped in here for fish and chips after an evening event at the Conservatory.  The group consensus was that the food was OK.  Our server was polite and...,3,2023-02-04 07:49:33,qn7SBX0zPE0keFJe0V-_9A
55,1XyJMWQ0fgWszG69vh3INA,Was seated and waited 30 mins without even being greeted by the waiter. He had time to ask other tables if they wanted refills and how there food was. There...,1,2023-06-25 11:22:45,WRUIUIVkz7F5IiH7XI8QcA
56,CbIKiwMDaOW9yy9c1tCEww,I am from Houston and I travel a lot for work. I have not been successful with soul food until I got here. The servers and the cashier were really nice. The...,5,2023-06-04 10:16:17,iAGVYKClwlVgsPWYuO3KPg
57,k08QHjZBZwvzsbPWEzGNAA,"Some of the best Soul Food I have ever had.
Greens we SUPER tender & well flavored!
Banana Pudding cake is 'sugar-coma in a box' but you will die happy!
Met...",5,2023-04-26 13:36:04,FpwtPhbJ2Tpek0BoPeMatA
58,D2avXJaeiBDtDigb2OeKmg,"I've been wanting to check this place out for a while, they're just far from where I live and it's to go only still. 

Business is located in the same...",5,2023-04-01 02:09:51,FYYSFg2Tg4kRfuKbdncyQg
59,_JdREdQMP0rmYkEaIMm-EA,"Great place. Reliable meals, pleasant staff and solid management.

The bartenders are wonderful! Friendly, helpful, cheerful and seem to enjoy being at...",5,2023-05-25 16:54:46,hW3_58HPRThM-O1dGPmXfw
60,RTVKQLto1pP7ixatZnZZcw,Above average chain food with below average to inadequate service.   Our server did not seem to understand the menu or the iPad device he is apparently...,3,2023-06-24 05:22:35,dwOgGfQ0WOrGWzAQ7aw5zw
61,LkvEoBbHf6SpoY40O9RYGA,"We went here on a Saturday around 1pm. The dining room was almost empty but spotless! Our server was polite, quiet, and friendly. I ordered this steak and...",5,2023-03-19 05:22:26,cAJJC0U8s22Wm3aPROw5SQ
62,cnsTM0I3Isg7KbvE5i0IOw,Jeni's Splendid Ice Cream is amazingly delicious! We looked for regular flavors found at most places but they are not your average and ordinary Ice Cream....,5,2023-04-09 07:37:44,xSmJ4WZCxnLePHIM95ZhcQ
63,NiRhR3syRdfpGwld0VP5Zg,Such delicious flavor and service. I love the fact that it's well lit. The lines over the summer are long but it's so worth the wait. The maneuver through...,5,2023-04-01 10:28:52,dIeo5dBgG9XwdRfTM0mq-A
64,X3lwJD_ccYmpAj5-iViLmw,"I attended Jeni's Summer Party event, and it was pretty nice. My husband and I stood in line with other app members, and when the doors opened, we were...",5,2023-06-05 17:40:39,8NPPCBA8S5ABAQQENEqk0A
65,NTtbjkwg0HXdwSwhhUnzYg,"I never thought I would find a grease stain sexy! Their pizza is delicious, service friendly, and best of all around two minutes away from where I live....",5,2023-07-03 15:09:29,UAqvWvk1RxcyEHPdmLJizw
66,RHsgW_IPkkwA8JzXdFhx6Q,This is the only place in columbus that I can get a consistent pie from that is both yummy and a good size. I typically order the large (i ordered a medium...,4,2023-06-08 14:41:26,ouNJQM-5Ur6d4MGgjd3KuA
67,MLPtFJj17O-8UI9hKRaPNg,"Not many NY options in Columbus.  Decided to try Papa today.  I haven't had a ton of NY style pizza, but I had probably the best pizza I ever had in my life...",4,2023-02-01 16:56:55,vFe4bfnP8k5Sure1sXPbYw
68,H4O_2ZFabo5eG8p8Qvs07A,"I have never been to a Gallo's before, but went a couple of weeks ago for a friends birthday dinner. There is a parking lot in the back, but it's shared,...",4,2023-04-14 10:46:32,xViPciuEA-kEwbfekl62Fg
69,mQrgQgcR0lm6rM8I3ZzqDw,Recommendations are recommended. Gallo's on High is a small restaurant with limited seating. We made reservations for New Year's Eve dinner. We got seated...,4,2023-01-22 16:29:04,rqzcmK4ysvFA_sbgYaSmdg
70,W48S4-JxJOyMh8qmf3I3VQ,I have heard many great things about this locally owned spot. I wanted to try it in particular because I'm on the search for the restaurant which does the...,4,2023-01-06 11:03:39,FYYSFg2Tg4kRfuKbdncyQg
71,q6PJIxl8VcuxtUH38NeZIw,"I love the idea of take and bake pizza, lasagna, etc. - my husband and I were able to pick our order up in the afternoon, put it in the fridge and make it...",5,2022-01-28 16:27:21,QArOe2udHjQzhY-Ns52lOQ
72,N_uRmRisdPaiwQ9QY3k-Rg,I've heard great things about this place so I had to come check it out. Their parking lot is fairly small so you need to be lucky to find a spot but there...,4,2023-06-30 09:25:28,l_VcjiRnUc8_g4BKSgQZ3Q
73,y8VKHTzW8iA3HNHzl1qSvQ,"I picked up a medium pepperoni pizza and an order of garlic cheesy bread from Mama Mimi's. They offer a wide range of pizzas, salads and Italian appetizers...",5,2021-09-14 16:01:03,uABgKX42VTRqGDUhSC_3mg
74,3LAb2nbuDZCvPu0wShQ63Q,"For my New Year's Eve celebration at home, the tradition is to have pizza and watch a movie. This year, the Moltansanti with a Chopped Italian Salad from...",5,2022-01-01 08:31:18,Pty-8LW4JTUWnTsI44__Lw
75,kGQP041BStjVBP6J1b95Mw,It's been well over 20 years since I last remember visiting the Hickory House and I pass it several times a week to my hiphop fitness class.  My husband...,4,2023-07-04 16:12:01,tb7q_TIKu_pha2UFyneMmA
76,ftYPkRacXc9bjhXNqfVTJA,"The food we had was great. Ribs were tender, good flavor, huge portion and the fries and potato were good too. The service was great and we enjoyed the...",5,2023-02-01 14:04:51,RwdtadJtpQbSD4Au5h11lQ
77,t6uY645YI4j2ertyZTTVZA,We were staying in the hotel down the street and were blown away by how good this takeout was. Everything from the shrimp skewer to the Caesar salad were...,5,2023-07-14 07:52:24,JyEpPkf6cqa0JHSJlgRliA
78,aVuMyOmhBR2vihhGx2JHEA,"I was in the Columbus area and I normally search for the ""other fancy cookie"" places to pick up an order of sweet treats for my family. But, I decided to...",5,2023-03-08 12:36:36,Agmz7qcwC-JAEf3z8PjWqQ
79,MiX-2KiEQU8mgRzfK7KCUg,We bought four cookies yesterday after dinner in the area for $16.00 and so good. They are chewy and big and fresh! The more you buy the more you save - we...,4,2023-07-09 04:51:17,tb7q_TIKu_pha2UFyneMmA
80,73cnPkJ0qUS0_zomyAWGOQ,"The cookie crazy in Columbus is growing and although the other one(I won't mention is bigger it isn't better, in my opinion)
I was introduced to loin's cub...",5,2023-01-22 07:51:58,CaA6wnYw62ii9rF8wxGdMQ
81,LsZSU2sDsFZmlaPaGJ4-Hg,"Food as great. Madison took good care of us. I would recommend this restaurant. We sat outside with a nice breeze making the perfect atmosphere!
Thank you...",5,2023-07-07 16:43:18,VeUqQe45LQAfdIczS2usAA
82,JgyJ6GchCNdIO-gVVGmN-w,Went for dinner and drinks on a Thursday and sat at the bar. It wasn't busy; but there were a few other diners and people at the bar. The bartender was...,2,2023-03-20 08:35:55,GPc3a3Iktcl-i9ByUpdMnw
83,i_lGwQ6HUpFvKexx3mENpQ,"Well, not sure who is in the kitchen cooking, but they are putting a lot of heat (spices) on the food. 
As a result, it was too hot to eat so I took it home...",3,2023-01-14 02:11:04,O-wkcwyROyg0_i80VJ09Qw
84,qcLPprP4YN_3I7KyaLQXVw,"Still my favorite taco place 2 years later! There isn't anywhere that compares to the al pastor tacos. I love that this place isn't super Americanized, best...",5,2023-07-15 15:51:47,eKWBUFgoQSTyL0_isNPmNQ
85,ZBKztyXfopC4JY0ICfCjVA,"""Solo Para Tragones"". Learn it. Order it. Embrace it. Relish in it. 'Nuff said. 
GringasGuachos TaqueriaThe Original Taco Al Pastor",4,2023-06-04 12:37:33,JswUh_noANrOUaGBFfrGjw
86,DV-s6-tEHZQRvLrzJ1fTeQ,"I have been to Axis for shows I was involved with a few times now.
The stage is pretty big, and they now have a drop-down curtain that hides it before the...",5,2023-03-28 13:03:09,xViPciuEA-kEwbfekl62Fg
87,cQH1I_ju3KZuTnDRtaUOCw,"We were having such a good time, minus all the remix music, and then a very insistent man kept coming up to me and my friends, who are in the gay community....",3,2023-07-08 06:52:11,PaZI2SDfHqelGTxm1FZXuA
88,OP8omC8FZ5dBZN_c4NerAQ,Drinks were awesome! Atmosphere was welcoming and fun. Music was on point!!! Thanks!!!,5,2023-03-03 13:33:04,NT7x-02MrL7kmSVqnOYxpw
89,AqJFhM9CJdAtzkRJGCZx4g,"My favorite place to get a refreshing cold dessert. Whether it's a weekly flavor or a whither off their menu, you know it's always going to be good. Already...",5,2023-05-22 17:26:56,FXY-D75Umvv7SDl9hLh3Cw
90,3RS4mpI8fck9zCrnrPtC-w,Usually enjoy their ice cream. Reasonably priced. I think they could do to hire more people in the summer months because it was clear that they were...,4,2023-06-05 07:08:37,Plhq9CG6UZ43kTE0s_wjig
91,Aaia8txSa1Zo_iR5BZ7Xww,"This is my favorite ice cream spot in Columbus, even more than Graeter's!! The price point, value, service, point system and fresh flavors cannot be...",5,2022-07-05 08:59:57,T-_GnVBq2hSTwsjtz2jmww
92,OBOqlcn1Vld3agl4wHeBPw,My friend and i walked past this place today as we were headed to some local shops. When we came back we had went inside and it was seriously the best steak...,5,2023-05-26 18:07:44,fruCoSMxAkXd5zB_zcReIg
93,hsGXH0-LQfRwDG5IczNtHQ,Been here a few times and it's great if you're craving a burger. They could improve on being consistent though. I had the 7th heaven burger and although it...,4,2023-03-27 17:16:50,l_VcjiRnUc8_g4BKSgQZ3Q
94,LxVtgSX76K6o0UAZdsgWjw,My first impression of The Rail started when coordinating call-ahead seating for a large party on Fathers Day (I know...but you do what makes your pops...,3,2023-07-03 07:48:09,cb5Ag92-PHiMqZ6cgZacPw
95,t4j6BEBmN4Vi_3CFL4CnfA,"It's Restaurant Week time, and we decided it was time to try The Rail! We phoned in a carryout order for lunch. From the Restaurant Week January 2023 menu,...",5,2023-01-25 18:42:33,_Kplrc1bDTce2Pw3xRr51A
96,gzQrv4Pcgz3yHuCogr9XFg,Super clean and organized location in Clintonville. I came right before the holidays and they had an amazing selection of seasonal flavors. (Don't miss out...,5,2023-01-05 07:24:00,y-Hc-K280dTHsUFfpXUpGA
97,co_y0gEZOOnn_azzwxpWPg,Went here for my sons birthday treats. They have a wide variety of buckeyes and we went HAM. The service was great. The person working was very kind and...,5,2023-04-08 14:22:04,iQ6dVYdtOwJ7Vad6v3v52w
98,1je_7kAZroA4esak8CrjNA,"Pros:
Delicious, varied options
2 for $5 for traditional
You can order online and pick up later
Clean cute store
Easy parking

Cons:
Would love to see them...",4,2022-10-22 15:08:58,iThHSHURaS249D-mFaToyQ
99,Yevw8puZ-w0wS4wqfJPXdA,Small nice Chinese restaurant at a strip mall in Morse road. When we arrived there were no other seated customers other than me and my husband so I'm not...,4,2023-07-16 20:37:48,7WlFAvpg3yExd2ufqOogCA
100,69IdXFBJh-8TSK2qkbiFQg,"After the epidemic, they canceled the buffet.  However, they focus on dine-in and take-out, and the taste is better than buffet.",5,2023-07-08 09:09:39,ZFrIgoHifU7sX_AjPp7jtA
101,2Io2eybrJLLp5ikIIOtgQw,"Great service. Place was clean and orderly. Buffet was always filled, hot and very clean. There were lots of choices to make.",5,2023-07-02 14:29:22,8q7hX9snam0kiGkCMZJvUQ
102,SKZRk9m2pza092nIiqhTkw,"I've driven by the Bexley Cafe Istanbul so many times and thought I NEED to go sit on that patio. Last night we made it happen.

The patio is picturesque...",4,2023-06-01 07:09:10,krALL6hazh46e98NgVUkOA
103,AyjVeoF0eNv4FrHn_wlPtw,"The food here is really absolutely delish, and the patio is awesome.
It provides a large shaded awning space for cover in warm weather and there are tons of...",4,2022-09-29 13:54:39,xViPciuEA-kEwbfekl62Fg
104,lTqbKu55lIvSbhiJkhqZBg,Wandering around in Bexley and I came across this tiny place. It's actually deceptively small from the outside. The food was incredible! I ordered the...,5,2023-04-01 14:45:02,SCMIF-HpXjUDmPuokhTPNw
105,I9wtxIJZne4zhWxIN6l49Q,"This place is tucked-away in the Belmont Caskets building, but it is well worth seeking out. Fast, fresh, and amazingly affordable, 

The Belmont Deli's...",5,2020-01-23 17:56:22,nn3ouUaI90eK7w6kuWeH5A
106,yyryVFd64NFg6sC-ZAOFAA,I got the mini club with avocado via grubhub the last time. It was so delicious and they even accomodated my request for extra extra mayo. Worth every...,5,2022-07-11 14:24:45,Dbl6YPUsFZYi3MJfCtSKEA
107,iJgpHwxj4c-OyU8ZpJ3bZQ,I was attending an evening training session where a light dinner was being provided.  I always fear that the standard pizza or pasta or such will be served....,4,2018-04-27 09:12:15,AoFRi-4XknffP3RajTk7pg
108,S5UP7G9d2I6hxjkldaoIFA,Usually come for happy hour with coworkers. Had hit or miss service but it's been on nice weather days after the long Ohio winters when everyone wants to be...,4,2023-05-03 15:15:36,RCZS2b8XHRWIfqW4mdYqyw
109,K2IJ4rBxa0BV6hfO5TpgjA,Celebrated a friends engagement on a sunny Wednesday and the Wine Bistro was perfect! We made a reservation and were lucky to get their patio. Despite being...,5,2023-04-20 03:09:26,NWuInHgy4Zb7CpARXDeCZg
110,nCr64c4kns2ER-DxgDy9MQ,Always love to discover new places that I don't usually visit. The Wine Bistro have a cozy vibe and the whole place is surrounded by endless wine on the...,4,2023-02-05 19:02:13,ioSpGJpNQxw7aX1Kb0p2eA
111,_4Y2yierUsPBtavQUGfacA,Another great Dive. A bit Bigger then Mike's grill but still affordable and solid. Loved it.,5,2023-03-20 10:05:44,o8fCQ7s9rD_NCGJRiVRr4A
112,Qb2xnnt9E-bJuz-YVK2U0w,Went to the short north tavern with some friends around 7 on a Friday! Luckily there was no wait and it was very chill inside. The pizza was ~$15 and very...,4,2023-03-05 07:00:12,DiQkVFSyJJtgymx3KHNVZg
113,fSqc5YrqQnf2XC27ttTqDw,The pizza place is a joke. I paid 40$ for personal pies and these should at least be advertised as such. So terrible and might at well go to a chain than...,1,2023-07-04 15:27:41,B4YuOS-_UDw7U-h_n7dtEQ
114,j5yw_6bymzrxq0yC1XK2_A,"Great comfort food! Had the bowl with Mac and cheese, fried chx, green onions and spicy ranch. Highly recommend this place if they're near your area.",5,2023-07-11 10:35:41,QZwIOb6jUKJW0wxVKkl3ZA
