,0,1,2,3,4,5,6,7,8,9,10,11
0,Hp9buzAPpgY0Ioibu2Nj5A,cafe-bistro-columbus-6,CafeBistro,https://www.yelp.com/biz/cafe-bistro-columbus-6?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,76,+16144167111,10224.9462427694,40.054600,-82.915151,4.0,"Cafes, American (New), Pizza",delivery
1,DPiSO_JKl7egO8m47fk-8g,chuys-columbus,Chuy's,https://www.yelp.com/biz/chuys-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,530,+16144980285,10770.9463519948,40.056727,-82.908452,3.5,"Tex-Mex, Mexican, Bars",
2,NOCj04ATzs5SPacE3c8_eQ,slab-columbus,Slab,https://www.yelp.com/biz/slab-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,30,+16143487641,3776.9929361927,39.949533,-82.982734,5.0,"Food Trucks, Barbeque",
3,m54sJmm5Iwzsm4zObujkdQ,winans-chocolates-coffees-columbus-4,WinansChocolates+Coffees,https://www.yelp.com/biz/winans-chocolates-coffees-columbus-4?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,29,+16144293561,3195.5039408573,39.983550,-83.027959,5.0,"Chocolatiers & Shops, Coffee & Tea",delivery
4,SMahElo6Gq5zbWQrpHtiQg,columbus-brewing-company-beer-hall-columbus-4,ColumbusBrewingCompanyBeerHall,https://www.yelp.com/biz/columbus-brewing-company-beer-hall-columbus-4?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,32,+16142243626,3608.0306929902,39.962821,-82.957283,3.5,"Beer Bar, Cocktail Bars, Brewpubs",
5,p6fXUm2l77xr-tF9e3VaqA,restaurant-silla-columbus,RestaurantSilla,https://www.yelp.com/biz/restaurant-silla-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,223,+16144595990,10473.7915015619,40.056289,-83.067691,4.0,"Japanese, Korean, Sushi Bars","pickup, delivery"
6,pEW93vDJPM4bFx-5oB1T-Q,honey-dip-donuts-columbus,HoneyDipDonuts,https://www.yelp.com/biz/honey-dip-donuts-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,112,+16144590812,8969.3347204297,40.049912,-83.049438,4.0,"Donuts, Breakfast & Brunch, American (Traditional)","pickup, delivery"
7,txA0utCRV9TAs6Eq5--Mrw,shake-no-eight-columbus,ShakeNoEight,https://www.yelp.com/biz/shake-no-eight-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,81,+16144293600,1827.5730906470,39.993487,-83.006956,3.5,"Coffee & Tea, Ice Cream & Frozen Yogurt, Desserts","delivery, pickup"
8,h-oYNRrQ7T7FjtER36z8UQ,oddfellows-liquor-bar-columbus,OddfellowsLiquorBar,https://www.yelp.com/biz/oddfellows-liquor-bar-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,120,+16149239631,1208.4357972328,39.983505,-83.004627,3.5,Dive Bars,
9,hNpnUFVW4Xm5CoShgpey7A,bistro-2110-at-the-blackwell-columbus,Bistro2110AttheBlackwell,https://www.yelp.com/biz/bistro-2110-at-the-blackwell-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,39,+16142472110,3311.1978559370,40.005023,-83.016595,3.5,American (New),delivery
10,-Th7Avg3VRJliWTXtzbffQ,condado-tacos-columbus-8,CondadoTacos,https://www.yelp.com/biz/condado-tacos-columbus-8?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,388,+16145325956,10094.6565145645,40.052554,-82.914310,4.0,"Tacos, Bars, Tex-Mex","delivery, pickup"
11,zLL6yt5z5tdeTrJxRay2bg,sloopys-diner-columbus,Sloopy'sDiner,https://www.yelp.com/biz/sloopys-diner-columbus?adjust_creative=0DgQD6YAIRFieNeosDMLnA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0DgQD6YAIRFieNeosDMLnA,50,+16142927000,2246.5295887884,39.997860,-83.007835,3.5,"Diners, Breakfast & Brunch",
