,0,1,2,3,4,5
0,1XyJMWQ0fgWszG69vh3INA,Was seated and waited 30 mins without even being greeted by the waiter. He had time to ask other tables if they wanted refills and how there food was. There...,1,2023-06-25 11:22:45,WRUIUIVkz7F5IiH7XI8QcA,
1,H4FhOjFivi4aMxeddxMPGg,"ROASTED CHICKEN & GOAT CHEESE PANINI 
16.50 ~ 1160 / 800 cal
provolone cheese, oven-roasted tomatoes, arugula, 
dijon balsamic vinaigrette, lemon chive...",5,2023-06-24 19:37:16,y0wA70QDTUeKS_VyLw7A7A,
2,qLzO2mwYN3ti8dvAfpxePw,All the vibes!!  We dropped in on a Saturday without a reservation and were given a 30 minute wait time. We made it easy and sat at the bar. There were only...,4,2023-04-30 07:04:01,LDoa3UXbySRr0b2pcwrlnw,
3,dONpgM2St8gaCZdnaWiTKw,I was so excited about the Food Truck Fest when I heard Hungry Monkey was going to be there. I have been craving them since I heard they put Peanut Butter...,5,2014-08-16 19:45:05,7DCwwpe524F2AqZqTUGExg,
4,V4d7QNZtIbCfMXYcgR5LhA,"This is the best Mexican restaurant in Gahanna that I have found so far.  The management and workers are kind and consistent.

Get the Hibiscus  water!...",5,2023-05-31 03:41:00,7v5WWyFCONwphGxWqlncEw,
5,0xV6NqiTywk-EP8_yz0GjQ,"Enjoyed. Bubble tea from here! A little tough to navigate the menu as a first timer, otherwise would have been five stars! It's very hands off from a...",4,2023-06-27 16:15:23,PXXqDERpNeXG-kelehl_ug,
6,_Lgtf89BRy9uxHLtQ7eB0g,"Had an eye on this forever, but it's out of my way and I never made an effort to get here.  Mistake.  Today I had time and was nearby, and stopped in.

Cool...",5,2022-12-05 17:58:30,R1FVpAyl_BtxHBWdau2VLg,
7,lscGoz9CbNfPu07LNv3EhQ,"When my friends told me to check out Rogue Bakery and swore by the delectable magic of their cookies, I was doubtful. After all, I'm not a huge cookie fan....",4,2010-11-08 07:31:34,UWM2RC4PomAB65GWmEsoiw,
8,a2SKwMUgPph78bZtkuNVjw,"Perfect Deep Dish once again. We order it well done and it turned out just that. Delivered in 40 minutes, so its not a quick pie.",4,2023-04-16 17:11:31,9leRUv4_XFUuGyevKJKA-Q,
9,x_fVVrfDJg4HkZ73faIbcw,"Short and sweet review, because this is a quick place to order from, but what you order and how you order it is what makes the experience great. I'm in love...",5,2022-11-12 06:13:12,2FSgTI_wRZEJCoYxzAh1iA,
10,em9t4_oHLPuplxfY_8xakQ,"Great Laos food in Columbus!  It was awesome how they had this in a Ghost Kitchen where you can choose from asian, soul, bbq, American, Mexican.",5,2022-09-30 17:10:44,u1oNLhSGjVdqkFX9t0a4ow,
11,6dyX6OPTI3b0xtzl0_Xwrg,Yoshi is a quick sushi and beverage joint with great service with a location not far from the university. It's much more geared for takeout than dine...,3,2022-10-24 13:00:32,ZpuVmTg0dJZMdftp_nAIbA,
12,aOg338UZTnwGG7Nt9jiX1w,My mom was craving some roosters because you can't go wrong with their wings. It just so happened to be boneless Monday so they had a special and I ordered...,4,2021-03-02 20:08:55,zcm58DFgpnd8yMrMY8Exug,
13,JhGP3rwCGmh5QYzAYBO_og,Fun brewery with friendly staff. They did lot have a big selection of house brews on tap yet and a few were tapped out already. I had the Snickers brew and...,5,2022-09-26 07:53:09,OmNf0I4cMUJgDZMOjjaD3w,
14,ylDLOaUotZWGmfbxrtu1yw,"I've been coming to Brassica quite a bit over the last few years. They've got a Chipotle-style process, where you place an order, then go through an...",5,2023-06-24 12:29:57,HN4cOFmLJ5aKc3vPOC7W9A,
15,QFtYaHKPkISjzWNgURJblw,"Service Bar just opened back up under a new chef after being closed for 2.5 years through Covid, so I was very excited to try it out again. Overall, it was...",3,2022-11-21 09:46:14,gk6In6MpVFh05rQhiVX9Aw,
16,rQ_lzi3BVmAIVHocjGeSjg,My daughter lives nearby and wanted to dine here for her birthday. The staff was extremely helpful meeting my wife's dietary needs. Our server recommended...,5,2023-05-13 14:40:55,JbEqZ4MM2o7lpgK8l9w7xg,
17,4R05AD_Dabkh-AYcXkJ38A,"An entirely enjoyable and tasty experience start to finish.

Food is beautifully plated, flavorful, and satisfying, interior is well decorated and...",5,2023-06-27 07:29:03,kLoklJrVlONYN-OC4eky-w,
18,nUIpCGF4LwsDpouqhQP3Fw,"We came in with a large party and they worked hard to seat us, which was great.

And the service was okay under the circumstances. But the music was loud...",3,2023-04-30 10:02:40,HeeozuTFkEbNgmupaTqdJg,
19,5JS0D1RctO7Pt2mTrrvY7g,"This is one of those restaurants that is just filled with energy, knowledgeable servers and good food. Felt like I was in New York, not Columbus (nothing...",4,2023-06-19 14:54:31,9fLPl-bNAU0xJQPBpIln2Q,
20,e_vQy4T_tMTx_Uy2VTCkJg,My favorite place when visiting columbus! We've been here quite a few times now and I crave it ALL THE TIME! The homemade fettuccine with Alfredo and one of...,5,2023-04-19 17:36:24,_MMRCKJWKNFVtseRj78eSg,
21,brzjgISxtI3VqKBiGNsddw,"Some hiccups with service probably owed more to the size of our parties and the volume of everyone else, but the servers worked very hard to overcome these...",4,2023-04-30 09:42:03,HeeozuTFkEbNgmupaTqdJg,
22,JQv8ja6qdzx1MhHEiYCTvw,"The Carbonara made with Campanelle Pasta, Pancetta, Peas, Pecorino, Egg Yolk was delicious, definitely a staple dish for South Village Grille. The egg is a...",4,2023-05-10 16:50:17,I3vKvNcl0SCYAShtqd74KQ,
23,bnUC06eFfsOeRzBaIh1IhQ,"Lindey's patio is the best patio in the city. 

The food is excellent. American, almost to a fault.",5,2023-06-19 10:17:47,S6E8Rd48aF2n4s_fRMUl1g,
24,EY27sxzPYzNOr0WZNpyWpQ,"This place is obviously up there in terms of the quality of food and many aspects of the dining experience. We came here on a date night, requested a seat...",3,2022-12-31 14:10:15,GVPfX3H7AcCimpb8TccvEw,
25,EFCfikDf1cJbmHaQZ13sEw,"Absolutely delicious and amazing. Harvest has the best pizza I've had yet, and it's very consistent and I have not yet had a bad experience in the many...",5,2023-05-12 13:00:50,hYJ7oHCkh8oQ2807KLFumQ,
26,v3Q1YP7NA8VT8KGzAsuJUQ,"Love the ambiance of this place! It was very homey and cozy, the staff was very friendly and attentive. 

We started off with the mussels, the sauce was...",3,2023-03-25 08:59:20,Z9w_0w_1y11pvkpamn0_vQ,
27,JJmMsF2X2OfCb7gdz_HMkg,Every summer we make it a point to visit Lindy's and enjoy what is without a doubt one of the top three patios in the state of ohio. We always enjoy the...,5,2023-06-24 17:25:21,nlzQhljFYWgmY5_de8FkPA,
28,JXGpLbTqoOv4c5kjbZ0law,We were greeted upon entering by a distinguished gentleman who also seemed to be some sort of head chef. This was my first time here so I wasn't quite sure...,5,2023-04-23 13:23:36,eZWfRHrOYvSk8zT75leoLw,
29,leXXbWXu4bqYAG4MVk6d-g,"Had a birthday dinner here with a party of 7. Since we had a reservation we were seated immediately. The waiter, a former flight attendant, was upbeat and...",5,2023-02-04 17:11:07,ZHZU_utj0yPDygJPyEXcDA,
30,ez6unV5UzZu8i72hzZHwAA,"Came here for brunch for the first time! Service was prompt and I really liked the ambiance of the dining area. 

The food was amazing. Portion sizes were...",5,2023-05-04 06:44:36,Vyod5X5-yaXt3AodZDM3Ug,
31,4AcMwsQQY_jYILpNZdccoQ,I was honestly disappointed in my burger :/ I feel like it's not hard to get a good burger but the ratios were off and the sauce they put on it didn't go. I...,3,2023-02-07 21:58:01,7Ivzp3G88rq0TOrTODEUsw,
32,EDkTQrgrIxPutMCOI6piGA,"My Husband and I dined at a local eatery, ""Home Town""and I must say I had an amazing experience. From the moment I walked in, I was greeted with a warm and...",4,2023-04-24 05:37:51,Y4WSue3fcjpILSmT6EDQsw,
33,Tt7R9P6qv23ur6elNnGptQ,FIRST time dining at Jeff Ruby's this past weekend. I had never stepped foot in this establishment until 10 mins before our reservation and let me tell you...,5,2023-05-15 12:58:23,eCLx63VP5jF_kup8iZb4fA,
34,FuMjPTzfxYntoPy1gMJ8Jg,"This cafe is a must visit in Columbus. It's almost always busy every time we visit so it might be hard to dine in but the egg sandwich is a must. 

They...",5,2023-04-23 08:33:32,uySR3jDEk_DrvUt9fAThYg,
35,YJdmg2qzWMezNUaYTW-7tg,"I was super excited to come to Comune after it has been on my to-do list for so long. I came with coworkers one evening to try the Spring 2023 menu, and was...",5,2023-04-13 10:03:22,xViPciuEA-kEwbfekl62Fg,
36,G3yf9ZEXogNSYBjKt3bgAw,"Amazing food, cocktails and atmosphere! They take reservations too, which is great on busy OSU weekends.",5,2023-06-12 14:30:09,CBMQ9h1vnWFAwULSLTNm1Q,
37,4qOlmXv_7gtyKnxbfoJdgg,"Our second time dining here, and this joint has yet to disappoint. First time we came, we were downstairs in the basement which was beautifully done and...",5,2023-04-01 15:44:06,8fITLch12NqT9KW-x-daRA,
38,BqDcuJeIi083neFKd3leDA,"I had a private dinner planned there last week Wednesday and it was such a great experience. My group of about 18 people had a lovely time, the staff was...",5,2023-07-05 10:48:10,uWD9y-Z82I9Bd7efeAsHeg,
39,kFwjaCXzf44twGfp-L3shQ,"Had such an amazing dinner at The Guild House for my husband's birthday. 

To drink:
? Cocktail for two: Served in a glass porthole and changes seasonally....",5,2023-03-30 17:36:53,8tBi3-rjn507k8e3zG2sbg,
40,pkQXKD4acOKb_8P8wHfXfQ,very good food  yum yum yummers!!! the service was also really good i met the FINEST bartender here bro if your name is joey hmu you're fine as hell anyways...,5,2023-05-16 17:20:21,5b5SpUHTr54wTGlM8wREUg,
41,3A6RftII_8l2LPOPVodJ2g,"I had a great first experience at The Eagle! This place has always been recommended to me, and I finally made it there last night. We came in on a Wednesday...",5,2023-04-27 09:34:01,HjvncUuPjEUwsdx0Xc_gkQ,
42,lpA7oH_kUoRxEIWw1MZ3ow,"Used to go here all the time before the new ownership.  Nothing against the new owners as they are doing good things for the restaurant!

Thought it was...",4,2023-03-21 11:11:39,tYT1kCLO8qEkEUFGClQQRg,35VgbRQWRDvQrIku3OfqKA
43,bhUBIhgHwdpPPV8s1P1Few,"We do love this local place. Today, we went for food after church. I ordered my usual Reuben and my husband ordered the steak and eggs breakfast( pictured),...",5,2023-01-08 08:45:47,cAJJC0U8s22Wm3aPROw5SQ,35VgbRQWRDvQrIku3OfqKA
44,gf-g7h7thEukPeVAzgDCKA,"Okay for lunch, typical bar food. Server was slow for outside patio area. Would be a nice place for happy hour after work. I got the Buffalo chicken...",4,2023-06-10 10:36:13,k4biYB5Tavw-dwn-6tVbmA,35VgbRQWRDvQrIku3OfqKA
45,O41istvoyvzdIsz1xPiBpA,We went here for taco and tequila fest. Paid $20 bucks for one free shot and 3 tacos. They did not have enough bartenders. The bartenders were rude as well...,3,2021-09-01 11:00:23,Wu1hrty56b_dZDfLBaXJRg,pW6jIK9Vu18vXigPTfNwUQ
46,hbM8VolqQgFSFnw6rGcQeQ,"Absolute trash. Go if you want to get assaulted by the owners friends and have the owners yell the cops the cameras ""weren't working"". Shitty dance floor,...",1,2021-06-28 09:12:37,WKllrAlPeSjX-ZM-XofDzA,pW6jIK9Vu18vXigPTfNwUQ
47,Zvtk-FwbVk_9a-tOtlcPbg,"Oh, Park Street Cantina, I don't even know where to begin. This bar is down near the Arena District, right next to Gaswerks and Brothers, across from the...",3,2019-09-09 05:44:49,_NpJZ0q8KVI-d2YLL_VpCA,pW6jIK9Vu18vXigPTfNwUQ
48,09tEuTdW1kXwf7-tJx9CLg,"Excellent customer service! This is my wife's favorite bakery, so I decided to surprise her and get her favorite cake. My order was ready on time, and the...",5,2023-04-10 03:02:39,7DCwwpe524F2AqZqTUGExg,BDe-iiPm9Gb7B2qCzlQWCg
49,Qg6K5wIdngZLrhJt1IJ4eg,I ordered the strawberry cake for a birthday party fro Golden Delight. As expected the cake was great and everyone loved it. Even more important is the...,5,2023-07-08 15:02:31,gxOLcPG1VqMmCPDTWxZ5KQ,BDe-iiPm9Gb7B2qCzlQWCg
50,5SgOiK2Tvn2T20FATwUrCA,"Service is poor (young lady didn't listen well or seem to care whether or not she sold any cake), but the strawberry and whipped cream cake  is absolutely...",4,2023-06-01 13:27:17,Q4LI1r0RWbpYWgvnhIYqRQ,BDe-iiPm9Gb7B2qCzlQWCg
51,8MmbORvcIbCIeU9eyFeBfw,"With new management breathing fresh air into this beloved club, updates that honor tradition are ongoing. 

This island in the storm provides a respite from...",5,2022-10-26 11:36:16,Wx4ccSvTc2GG5aYbosaokA,CzVVb1PRNRlYk7PDvw8xSg
52,E1di7yY1L0I20aNcsQ-MbA,"10/10 would recommend you try Ampersand 

We had family in town visiting and reserved the Tatami Room which was a very cool experience. The Tatami Room is a...",5,2023-06-27 19:47:52,RLQaJoUHhd1A08V47FTESQ,
53,Z_l_zpEHFR3cUHcFB0soqw,"Food...
If you eat upstairs, you will be waited on. In addition to the service, the food upstairs tends to be better, comparable to a similarly priced...",4,2015-09-16 09:00:51,IwFzSRfVeHrgxxYvSxqSEQ,CzVVb1PRNRlYk7PDvw8xSg
54,1zM5FxomuDtlXWwU10dG9w,"This park can be found hidden beneath the streets of Clintonville residents, down in the ravine, where water flows and wildlife takes over. I would have...",4,2020-04-07 06:30:43,_NpJZ0q8KVI-d2YLL_VpCA,sv4wzbSTKg7tsIgutBtrBg
55,-wfcO6K2vRlfEZ2IlpeFxQ,"Glen Echo is a fun ravine to explore, nestled amongst the streets of Clintonville. You can walk there if you're in the area, or use street parking. There...",5,2021-04-06 07:40:55,_Kplrc1bDTce2Pw3xRr51A,sv4wzbSTKg7tsIgutBtrBg
56,oGTvgrrc-_EnuBQXyXTjng,Boyfriend surprised me for our anniversary with dinner at Mitchell's Ocean Club.  This was my first time here.  The restaurant is so beautiful and the staff...,5,2023-02-19 15:53:17,kTnqh6o9zPeiks3JVv-DyQ,
57,6_SkMTJCdR5ZzBm8Z9unaA,I'm pretty shocked that I was born and raised in Columbus and haven't heard of Glen Echo Park. This truly is a gem in the Campus/Clintonville area and is a...,5,2019-03-20 14:30:42,WJfsYXAgwEo6Wkpuqjmqnw,sv4wzbSTKg7tsIgutBtrBg
58,w6bwg-CtWC6CGcptjtg5fA,I've been to a couple places similar to aligned where teas & shakes are offered with products from Herbalife. I personally couldn't care less about the...,5,2020-11-09 11:32:50,yZjCfp5tg7-rYiTtiwSrzA,7MFm-vxs8hB1hk6VCthwGw
59,ErlHNe5eKmpdBKDI6TPjXA,"Each shake comes w a tea. The medium 24oz size of shake plus tea is just over $10. Very clean, place looks untouched by any traffic at all. Very nice two...",4,2020-02-25 13:30:53,sNHrXB7aTHYpdaGb0pIV9g,7MFm-vxs8hB1hk6VCthwGw
60,RZWEz9wfmW0L6ZQqcGj2cg,My boyfriend brought me here after a workout to get a high protein shake and I was not disappointed! Each shake has around 24 grams of protein with low...,4,2021-12-14 13:24:12,UnTN_ktr9vpbhgyuGNwpgg,7MFm-vxs8hB1hk6VCthwGw
61,bZyUPpCSJj636rvMgQc-Mw,Front desk staff was friendly and they have a special on Thursdays $15 for shoes and unlimited bowling so that was a great deal. Contrary to some older...,4,2023-07-14 08:56:34,jKjvxNE3JI0BugGOhFNQEw,DLYOvwEIQcl555mDR3p05A
62,RJ1IUYw60OdpHj4wKvZFjg,"I've been Bowling at this alley since it was Big Western, and this is my favorite version of it so far! Has that old school bowling alley feel, but had been...",5,2023-01-22 17:10:10,1fb-ERPS4Kpkxo2fowmlbg,DLYOvwEIQcl555mDR3p05A
63,KjALBM31WWEoCBSeDIEQ2A,"Been here a couple times, great! Food is a little pricey but worth it! Drinks are $3.17 but free refills! An hour for $30 and the staff is nice! Pizza is...",5,2022-12-19 15:36:32,crb-G-e-rwtx75oLG1L65A,DLYOvwEIQcl555mDR3p05A
64,IV_N9lxDtuUNha6v3PjJ_w,"Excellent Excellent place.  Clean, bright, great staff, great food. 
We had the Family platter - I recommend for 2 people. 
Flavors were very good, just a...",5,2020-08-25 10:07:36,5SYD87gd4-7f4YHs1UZaYA,qF2D6-jN9b1TZYEalKALsQ
65,VPcjPOf_q3u8nksiSCE_Xg,Food was good and fresh but this place is more modern then other authentic Ethiopian restaurants in Columbus. Overpriced as well. Ok over all but I like...,3,2023-07-07 17:06:59,syqQgE4KDLqmf7k68Psnpw,qF2D6-jN9b1TZYEalKALsQ
66,pimFuFnx_yRRb3JX61Pi9A,"The restaurant has been closed for several months, and telephone number listed on Google is out of service. I previously would order the vegetable plate...",4,2023-06-04 14:41:35,Ns3j7EYpEt0pQvb8p2tGVw,qF2D6-jN9b1TZYEalKALsQ
67,-A-4u8lBgK2botr_Jm7ifA,"This could be the most perfectly paired tasting ever...tacos and tequila!

First of all, thanks so much to Bryant and Balboa for giving us a no holding...",5,2016-07-25 20:52:30,0Ge4hEQ8HYnrkfm8UHj2BQ,yvtU5tHbFLnm-ZLCQvMEeA
68,68RlZQ-JxbhCjmcOOZgpeA,"Open bar/food/whatever = wow! Big thanks to everyone at Balboa and Yelp for this amazing event. Literally made for me with tacos and tequila (my favorites),...",5,2016-07-25 18:46:01,4rA-ZWXUcW9FkVhzuL5SQQ,yvtU5tHbFLnm-ZLCQvMEeA
69,zvEbAEDGFwzcxjNdJpeMWA,I'm brand new to Yelp Columbus since I moved about a month ago from Cincinnati. This was my first event in Columbus with Yelp and I'm so glad I was about to...,5,2016-07-27 07:33:17,xVVmmmRXaJNYfcZWCAssPw,yvtU5tHbFLnm-ZLCQvMEeA
70,0RqyCwx4Vrd4Iia6loYMgg,Best little family owned Chinese restaurant you can find   Good food  reasonable prices  very friendly atmosphere only bad thing is the location if your not...,5,2023-03-17 21:34:18,nm0nAlFfS9IE3F7WSyJM3A,cY8H9XNP50jpuJl-7D5mJg
71,lE2cTB1Z5YH62UyJEojLog,This place has changed. Ownerships so some of the food quality has went down and the portion size have went down just a little. At one point they had the...,3,2023-04-14 12:53:26,W5ile8ec40snDwWjyuNHzA,cY8H9XNP50jpuJl-7D5mJg
72,wK5t6LhHtEKA6LaLiFI3fQ,"old customer of at least 20 yrs .
I got such a horrible dinner from them tonight I actually called them .
The chicken wasn't chewable .Tough and Rubbery...",1,2022-12-29 14:37:32,PIU7XjyzfbN8qmFmYEgpWg,cY8H9XNP50jpuJl-7D5mJg
73,MYwbht_XBq1Ya-kHOrYQEw,Everything is top knotch! From the food to the ambiance to the service. You feel at home and you leave with a satisfied belly.,5,2023-06-16 16:53:13,GNoo7GFMBmT26GfkieLduw,
74,W2vIlXEZ9OiwtFS1nXlkMw,I've read about the Refectory for several years now either winning an award or being acknowledged for something great. I've always categorized The Refectory...,5,2023-05-18 08:02:30,dXphb5k_ABC8BfknoJYPWw,
75,e-VzMIJwB5xQ-YmBuaQMXA,"We had a wonderful evening out with friends on a Monday eve at Ampersand. First, it was a fun and unique experience because we reserved their tatami table...",5,2023-04-26 17:52:41,-mggGf7DG5xR8NnfupfiBA,
76,jlT5tSGAnC-qK-e6NEsA8g,"Loved this place!
Came for brunch on a Sunday -- we had a reservation but didn't need it that day, but it might have been slower than usual due to the bad...",5,2023-07-09 16:27:27,9Utn6_O560i8M9_3RKJZxg,
77,69EnRc9K1r5VMWXTyU1hIQ,My family originally planned to eat at Fado Irish Pub next door. We had just attended a production by the Columbus Symphony Orchestra at the Ohio Theatre...,4,2023-04-07 17:59:54,UTwdU-SAdq9uNADSSmy95g,
78,0k2x756kPkUZZ887oC8OGw,I was in the area and decided to stop in since I had never been here before. They told us to grab a seat wherever do we lucked out and got a booth. The...,4,2023-02-01 17:40:28,jKjvxNE3JI0BugGOhFNQEw,
79,opKkKU47sGKXQvmmlFVLVg,"I would have given a 5-star rating for this past Sunday's brunch, but they did not include a celery in my bloody mary--it was only garnished with 2 green...",4,2022-12-06 12:44:27,w0ZI7EYboJjUNTCFziIHXQ,
80,OvfH7nsggmgtc2KOv5XRaQ,The pizzuti collection is a downtown Columbus Ohio art museum that me and my family stumbled upon while exploring the short north district of  the city...,4,2023-02-26 17:46:35,eeErZzgWenz9ck7FGdFUfw,
81,VRehUxuHkOUcxtGY0at4IA,The Pizzuti Collection is housed in the former United Commercial Travelers insurance building. It is the culmination of a lifetime of diverse & eclectic art...,5,2021-09-18 22:06:32,pmYGLKLkkK0_qvC4uE9AFA,
82,i97vZYAhnM454d7GJQTJZQ,"Pretty cool collection!

This was opened by the Pizzuti family in Columbus. It's all the art that they own. 

They had been closed for a bit, but today was...",5,2018-09-08 15:39:18,0PCM8QMFWatpzBMRUVOVbQ,
83,aQk77_7vl6DyZnz8ES9HhQ,"Was our first time there for hubby's bday and it won't be our last! 

Let's start with atmosphere:
It was chic and simple. Loved that like fine dining...",5,2023-04-07 08:31:01,eUnGALOEUlp16dhvPiwCng,
84,wKzcBp29uXTZhwngcpgx3Q,Hidden gem in a gas station.  This is authentic! Friendly service and reasonable prices! I'm excited to try more here!,4,2022-08-06 13:08:26,X2o_WDRQfYomae3T6jrw6g,
85,zVGjQjiOAyuwj30TmHUnZg,Tucked away in a Sunoco gas station is this incredible gem. The burritos are stuffed and the prices are low. Everything on the menu slaps.,5,2023-03-27 09:28:52,Fxkc24vbV_OJu_Qzd9W3NQ,
86,RQUsYSlzaB8QJM2fBnimjw,"Grandview Diner is quite an interesting concept. It's basically a gas station and convenience store, so it doesn't sound like much. What makes it unique is...",4,2018-03-23 20:08:47,tgeFUChlh7v8bZFVl2-hjQ,
87,utbCC_r_eFTO0FQwE1didQ,"I walk by this Starbucks all the time and tend to forget that it's here. However, while I was out on a Sunday morning walk I attempted to go to the North...",4,2021-06-14 07:06:29,_NpJZ0q8KVI-d2YLL_VpCA,
88,3aAunaO0UzV0ChMeXs7Dqw,While in town and walking around my husband and I stopped in after breakfast to grab another drink. I had my go to iced green tea lemonade (unsweetened)...,4,2022-06-14 02:25:55,TnCjNHz96Vmqddp7_2i-Ag,
89,A0Ry-LVnY3Piu6WHaAzZEA,Do not recommend this starbucks. The service was one of the worst I have experienced at a SB.,1,2023-04-23 13:00:37,jXNk5du18fjsMFQxinCbYg,
90,Z6QeQLTmdm4KCsi66mdzZw,"I absolutely LOVE this place!! It's a fun, divey, bar and restaurant with an old-school vibe to it. They have darts and I'm annoyed that I can't remember if...",5,2018-10-06 07:41:48,G0nxu2jPt-ZSrMlis_pkDg,
91,eQiJlmjiSMD-GEU8xf-WMg,"Very delicious sandwich, and the fries weren't bad either. The staff greeted me warmly and treated me with respect.  Additionally, the front patio,  with a...",4,2023-04-11 16:16:16,JFXupPixhhkJmlHlFQTPjA,
92,ZFLEHBdVBZmPzJUCxR_juA,Great sandwiches. I like coming here and getting a good sandwich and fresh salad. Try it out. You can call ahead and pick it up.,4,2023-03-08 05:47:56,C2BooJHDK4Y5U6IfvcccZQ,
93,GM0x2ZXqk1iiGlqIzMOFvA,"Intrigued by the buffet, even if it is more of a bulk thing than an AYCE one, I stopped in when I had time.  The buffet trays were pretty empty at 1pm, so I...",4,2023-04-21 16:03:04,R1FVpAyl_BtxHBWdau2VLg,
94,zFFGfIR9MWJseP5u8owu3Q,Ordered the shrimp and steak hibachi. Food was a little salty for my taste buds but service was efficient.  Would eat here again.,4,2023-03-22 11:02:27,cTmgdDqRzVDr7-o4rSDa5Q,
95,NlAfEET0atV3E6_A5RYYpQ,"Staying in hotel and it's the Vortex coldness today so we staying in!!! Walked Down the corridor and they are connected to Sheraton yeah..!
   No buffet...",4,2019-01-30 09:00:10,INJeBb5oMnS54FpUv894qw,
96,atFLx1m55lkDYBIUGa14Iw,"I've been here several times over the years, but my visit yesterday reflects my typical experience. All the staff I've encountered here are extremely nice...",4,2023-04-24 10:58:17,rz2Y-JYVm3t5mLxwughfsA,
97,0slGH0IoVrF6CJ-JXIr0eA,I'm a huge fan of poke so I'm been dying to try this place out. This location has street parking so plan ahead for that if you're going on a busy day. I got...,5,2022-06-24 16:51:00,C3kcYljB9UJN3o5JVpxbQA,
98,agz5QkWpNMhkD24PkhS_QQ,"Stopped in at poke bros to grab bowls for my husband and I for dinner, and loved the food so much!!

Parking is tough here, I found a meter around the...",5,2021-04-13 09:12:55,Wpymrt1lxWAUAba3tpp1kA,
99,9EyPsoqE9pva7fTkrHLFrw,Kiddo ordered the fried chicken sliders. He would order again which is a high praise from him.  Sliders came with buffalo sauce and blue cheese. We ordered...,4,2021-05-04 17:04:29,IEtOn-AjnHfvxw-QsRQCZw,
100,WZ4_NrH1DzqUHS9uwIM1Yw,"Ten garlic wings, order of fries and a tasty beverage.  Very friendly staff, good food, and quick service what more can you ask for?  Nice atmosphere, music...",5,2022-08-19 17:02:59,tN-t8H5VWIvPzNUaqGlyVQ,
101,r8tBgAhy0RkcU7GjhdVhsw,Green bend were amazing! Italian hoagie was fantastic! Will go back! Fiancé loved his Cuban.,5,2022-09-25 16:58:12,wrD5-bHWv5dQIeHcG8l2RQ,
102,nYHLxXfj59bedWLMOG6EAg,Food - absolute culinary genius! Each dish I tried was bursting with flavor and beautifully presented. The attention to detail in every bite was impeccable....,5,2023-06-29 22:05:18,VlMd2HGKxhRDRPhONqD1Jg,
103,x_rxKamXds1byxP_BQNBQQ,My favorite cocktail bar in Columbus! All the cocktails are fantastic and the bar staff are so talented.,5,2023-03-13 15:07:33,o73M2IITw0F6N2p7Y0hV2g,
104,8zmuCGH-E-PWzwjJfJ7GCw,"The Beeline made one of my favorite cocktails at the Spring Cocktail Contest, so I was excited to visit the bar and redeem the card they were handing out....",3,2023-04-21 17:28:37,qn7SBX0zPE0keFJe0V-_9A,
105,U_E-xbxNLLoCbYWbJ8xxAA,"I had never heard of Beeline until the week before. My friends and I went to Forbidden Root for dinner and Beeline was next door.

I came back into the area...",5,2022-07-12 10:37:55,0PCM8QMFWatpzBMRUVOVbQ,
106,FZS2yHOcuvwBAzmBp8lWAg,"So glad we stumbled into this gem! Mikey's Late Night is their food now. Good beer. Duck pin bowling, pool, shuffleboard, volleyball... so much to keep you...",5,2023-01-31 04:38:47,-45mkhLZJBBPE32y2ECjcQ,
107,4D_sXtYp7foJzTosyk8zpA,Review update alert! I've been here a couple times over the years but it had been ages until this week. I tend to go to their other location for shows. This...,4,2022-03-08 05:51:23,_NpJZ0q8KVI-d2YLL_VpCA,
